File Name,LOC,Comment Percentage,Number Of Functions,CycloComplexity,Max Depth,Weeks Covered,Project Type,Semester,Year
/Users/yuan/Desktop/Work/School/Research/CS5 DATA/pre-LLM data/cs5/2021 pre llm/submission_104512838/final.py,533,19.86791691873362,15,124,4,6,textGame_keywords,2021 pre llm,2021
/Users/yuan/Desktop/Work/School/Research/CS5 DATA/pre-LLM data/cs5/2021 pre llm/submission_104603949/final.py,689,12.44256403257359,11,215,2,6,textGame_keywords,2021 pre llm,2021
/Users/yuan/Desktop/Work/School/Research/CS5 DATA/pre-LLM data/cs5/2021 pre llm/submission_104608034/finalproject.py,410,21.266904912059424,16,74,3,8,textID,2021 pre llm,2021
/Users/yuan/Desktop/Work/School/Research/CS5 DATA/pre-LLM data/cs5/2021 pre llm/submission_104611605/final.py,227,29.709775967413442,11,81,3,6,textGame_keywords,2021 pre llm,2021
/Users/yuan/Desktop/Work/School/Research/CS5 DATA/pre-LLM data/cs5/2021 pre llm/submission_104334879/finalproject.py,831,14.437931483652466,17,421,4,6,textGame_keywords,2021 pre llm,2021
/Users/yuan/Desktop/Work/School/Research/CS5 DATA/pre-LLM data/cs5/2021 pre llm/submission_104557337/finalproject.py,443,41.46426334470039,15,58,3,7,textID,2021 pre llm,2021
/Users/yuan/Desktop/Work/School/Research/CS5 DATA/pre-LLM data/cs5/2021 pre llm/submission_104554747/final.py,576,20.207732256203116,26,178,6,6,textGame_keywords,2021 pre llm,2021
/Users/yuan/Desktop/Work/School/Research/CS5 DATA/pre-LLM data/cs5/2021 pre llm/submission_104589377/FinalProject.py,414,49.20844327176781,15,148,3,6,gameOfLife,2021 pre llm,2021
/Users/yuan/Desktop/Work/School/Research/CS5 DATA/pre-LLM data/cs5/2021 pre llm/submission_104595187/final.py,360,28.629520678318045,18,136,6,6,textGame_keywords,2021 pre llm,2021
/Users/yuan/Desktop/Work/School/Research/CS5 DATA/pre-LLM data/cs5/2021 pre llm/submission_104610984/finalproject.py,793,12.699458859442213,23,360,5,6,textGame_keywords,2021 pre llm,2021
/Users/yuan/Desktop/Work/School/Research/CS5 DATA/pre-LLM data/cs5/2021 pre llm/submission_104557756/finalproject.py,443,41.46426334470039,15,58,3,7,textID,2021 pre llm,2021
/Users/yuan/Desktop/Work/School/Research/CS5 DATA/pre-LLM data/cs5/2021 pre llm/submission_104469020/final.py,416,13.909510041415963,17,78,4,6,textGame_keywords,2021 pre llm,2021
/Users/yuan/Desktop/Work/School/Research/CS5 DATA/pre-LLM data/cs5/2021 pre llm/submission_104527321/final.py,553,28.916707982151713,23,148,2,8,picoBot,2021 pre llm,2021
/Users/yuan/Desktop/Work/School/Research/CS5 DATA/pre-LLM data/cs5/2021 pre llm/submission_104431465/final.py,687,18.894783377542,26,222,6,7,textGame_keywords,2021 pre llm,2021
/Users/yuan/Desktop/Work/School/Research/CS5 DATA/pre-LLM data/cs5/2021 pre llm/submission_104535729/final.py,678,17.460662751069535,18,258,4,6,textGame_keywords,2021 pre llm,2021
/Users/yuan/Desktop/Work/School/Research/CS5 DATA/pre-LLM data/cs5/2021 pre llm/submission_104589229/FinalProjectpyglet.py,438,53.15196171043517,20,107,2,5,textGame_keywords,2021 pre llm,2021
/Users/yuan/Desktop/Work/School/Research/CS5 DATA/pre-LLM data/cs5/2021 pre llm/submission_104584356/final.py,117,8.10546875,2,38,1,3,textGame_keywords,2021 pre llm,2021
/Users/yuan/Desktop/Work/School/Research/CS5 DATA/pre-LLM data/cs5/2021 pre llm/submission_104615103/final.py,183,12.518115942028984,6,73,2,4,textGame_keywords,2021 pre llm,2021
/Users/yuan/Desktop/Work/School/Research/CS5 DATA/pre-LLM data/cs5/2021 pre llm/submission_104599443/final.py,342,33.585665005749334,18,61,2,8,picoBot,2021 pre llm,2021
/Users/yuan/Desktop/Work/School/Research/CS5 DATA/pre-LLM data/cs5/2021 pre llm/submission_104695981/textmodel.py,427,31.57516527737856,18,70,3,8,textID,2021 pre llm,2021
/Users/yuan/Desktop/Work/School/Research/CS5 DATA/pre-LLM data/cs5/2021 pre llm/submission_104577450/final.py,353,33.34118453171171,11,100,2,5,textGame_keywords,2021 pre llm,2021
/Users/yuan/Desktop/Work/School/Research/CS5 DATA/pre-LLM data/cs5/2021 pre llm/submission_104585984/final.py,333,13.861614878133299,20,108,3,4,textGame_keywords,2021 pre llm,2021
/Users/yuan/Desktop/Work/School/Research/CS5 DATA/pre-LLM data/cs5/2021 pre llm/submission_104585273/CS_Final.py,598,24.178684188070655,15,123,4,7,textGame_keywords,2021 pre llm,2021
