File Name,LOC,Comment Percentage,Docstring Percentage,Blank Percentage,Number Of Functions,Average Function Length,Number of Loops,Average Loop Length,CycloComplexity,Max Depth,Execution Time,Class,Semester,Year
/Users/summer-2024/Desktop/code metrics 25/All-Data/CS5-Data/assignments prellm/submissions_cs5_s2018/submission_12366520/final.py,329,45.8966565349544,12.76595744680851,21.27659574468085,10,15.2,1,76.0,54,2,1.3414058685302734,CS5,s2018,2018
/Users/summer-2024/Desktop/code metrics 25/All-Data/CS5-Data/assignments prellm/submissions_cs5_s2018/submission_12385117/final.py,274,6.204379562043796,27.73722627737226,16.05839416058394,18,11.944444444444445,15,5.266666666666667,54,2,1.235480785369873,CS5,s2018,2018
/Users/summer-2024/Desktop/code metrics 25/All-Data/CS5-Data/assignments prellm/submissions_cs5_s2018/submission_12436535/final.py,285,8.771929824561402,14.035087719298245,17.543859649122805,14,16.642857142857142,12,5.333333333333333,68,3,1.2748847007751465,CS5,s2018,2018
/Users/summer-2024/Desktop/code metrics 25/All-Data/CS5-Data/assignments prellm/submissions_cs5_s2018/submission_12313865/final.py and final.txt/final.py,588,3.741496598639456,15.98639455782313,6.292517006802721,22,25.272727272727273,40,10.225,308,4,1.267730951309204,CS5,s2018,2018
/Users/summer-2024/Desktop/code metrics 25/All-Data/CS5-Data/assignments prellm/submissions_cs5_s2018/submission_12371512/final.py,466,18.669527896995707,16.523605150214593,18.240343347639485,14,18.214285714285715,8,5.5,69,3,1.239124059677124,CS5,s2018,2018
/Users/summer-2024/Desktop/code metrics 25/All-Data/CS35-Data/assignments prellm/submissions_cs35_sp2018/submission_7871310/final|TUTORIAL WE USED.py,102,18.627450980392158,0.0,40.19607843137255,0,0,1,5.0,4,0,1.2834172248840332,CS35,sp2018,2018
/Users/summer-2024/Desktop/code metrics 25/All-Data/CS35-Data/assignments prellm/submissions_cs35_sp2018/submission_7870878/clean_24000.py,18,11.11111111111111,0.0,16.666666666666664,1,15.0,1,3.0,6,1,1.2892260551452637,CS35,sp2018,2018
/Users/summer-2024/Desktop/code metrics 25/All-Data/CS5-Data/assignments prellm/submissions_cs5_s2018/submission_12363853/final.py,553,4.882459312839059,17.359855334538878,19.710669077757686,34,13.794117647058824,37,7.783783783783784,240,3,1.2847580909729004,CS5,s2018,2018
/Users/summer-2024/Desktop/code metrics 25/All-Data/CS5-Data/assignments prellm/submissions_cs5_s2018/submission_12412352/final.py,494,4.65587044534413,18.016194331983808,10.121457489878543,24,19.041666666666668,41,6.951219512195122,211,4,1.2776269912719727,CS5,s2018,2018
/Users/summer-2024/Desktop/code metrics 25/All-Data/CS5-Data/assignments prellm/submissions_cs5_s2018/submission_12413414/editedVersion.py,405,5.679012345679013,24.691358024691358,10.617283950617285,20,18.45,27,7.814814814814815,144,3,1.2845349311828613,CS5,s2018,2018
/Users/summer-2024/Desktop/code metrics 25/All-Data/CS35-Data/assignments prellm/submissions_cs35_sp2018/submission_7871310/dataframe_builder.py,55,7.2727272727272725,0.0,18.181818181818183,0,0,0,0,2,0,1.2687299251556396,CS35,sp2018,2018
/Users/summer-2024/Desktop/code metrics 25/All-Data/CS35-Data/assignments prellm/submissions_cs35_sp2018/submission_7870878/all_together.py,99,8.080808080808081,5.05050505050505,12.121212121212121,2,19.0,4,14.75,19,1,1.2693240642547607,CS35,sp2018,2018
/Users/summer-2024/Desktop/code metrics 25/All-Data/CS5-Data/assignments prellm/submissions_cs5_s2018/submission_12309425/porter.py,328,4.878048780487805,28.65853658536585,9.146341463414634,17,18.0,5,7.4,241,2,1.2838640213012695,CS5,s2018,2018
/Users/summer-2024/Desktop/code metrics 25/All-Data/CS35-Data/assignments prellm/submissions_cs35_sp2018/submission_7870878/URLS_to_first_word.py,102,16.666666666666664,11.76470588235294,17.647058823529413,1,39.0,2,14.5,12,1,1.2996618747711182,CS35,sp2018,2018
/Users/summer-2024/Desktop/code metrics 25/All-Data/CS35-Data/assignments prellm/submissions_cs35_sp2018/submission_7871310/URLS_to_first_word.py,102,16.666666666666664,11.76470588235294,17.647058823529413,1,39.0,2,14.5,12,1,1.276465892791748,CS35,sp2018,2018
/Users/summer-2024/Desktop/code metrics 25/All-Data/CS5-Data/assignments prellm/submissions_cs5_s2018/submission_12402615/final.py,517,5.222437137330754,17.60154738878143,14.313346228239846,35,13.057142857142857,28,8.964285714285714,185,3,1.2783927917480469,CS5,s2018,2018
/Users/summer-2024/Desktop/code metrics 25/All-Data/CS5-Data/assignments prellm/submissions_cs5_s2018/submission_12415129/final.py,699,27.896995708154503,24.034334763948497,13.733905579399142,21,17.571428571428573,9,18.666666666666668,96,2,1.3490161895751953,CS5,s2018,2018
/Users/summer-2024/Desktop/code metrics 25/All-Data/CS35-Data/assignments prellm/submissions_cs35_sp2018/submission_7864835/final.py,63,31.746031746031743,15.873015873015872,22.22222222222222,0,0,1,32.0,11,0,1.4156107902526855,CS35,sp2018,2018
/Users/summer-2024/Desktop/code metrics 25/All-Data/CS5-Data/assignments prellm/submissions_cs5_s2018/submission_12413676/CS5 final Project.py,570,22.45614035087719,8.070175438596491,14.736842105263156,13,14.846153846153847,11,20.90909090909091,200,1,1.343177080154419,CS5,s2018,2018
/Users/summer-2024/Desktop/code metrics 25/All-Data/CS35-Data/assignments prellm/submissions_cs35_sp2018/submission_7798152/airdrum.py,188,15.425531914893616,6.382978723404255,21.27659574468085,3,5.666666666666667,2,72.0,32,1,1.3825092315673828,CS35,sp2018,2018
/Users/summer-2024/Desktop/code metrics 25/All-Data/CS5-Data/assignments prellm/submissions_cs5_s2018/submission_12401442/final.py,474,9.70464135021097,28.48101265822785,13.71308016877637,24,17.583333333333332,24,7.458333333333333,166,3,1.3522770404815674,CS5,s2018,2018
/Users/summer-2024/Desktop/code metrics 25/All-Data/CS35-Data/assignments prellm/submissions_cs35_sp2018/submission_7878747/worldcup.py,617,15.559157212317668,1.6207455429497568,29.17341977309562,16,32.4375,24,26.708333333333332,140,3,1.4021499156951904,CS35,sp2018,2018
/Users/summer-2024/Desktop/code metrics 25/All-Data/CS35-Data/assignments prellm/submissions_cs35_sp2018/submission_7512256/bot.py,205,20.0,0.0,20.48780487804878,5,21.4,1,9.0,30,1,1.327268123626709,CS35,sp2018,2018
/Users/summer-2024/Desktop/code metrics 25/All-Data/CS5-Data/assignments prellm/submissions_cs5_s2018/submission_12436699/final.py,399,4.260651629072681,19.047619047619047,23.05764411027569,21,16.761904761904763,20,11.35,128,3,1.1975929737091064,CS5,s2018,2018
/Users/summer-2024/Desktop/code metrics 25/All-Data/CS5-Data/assignments prellm/submissions_cs5_s2018/submission_12331177/final.py,531,5.084745762711865,21.657250470809792,11.299435028248588,25,19.44,35,9.628571428571428,223,3,1.2183809280395508,CS5,s2018,2018
/Users/summer-2024/Desktop/code metrics 25/All-Data/CS5-Data/assignments prellm/submissions_cs5_s2018/submission_12333102/Final_GameUpdate.py,405,21.728395061728396,7.4074074074074066,23.703703703703706,10,14.3,2,63.0,54,2,1.220292091369629,CS5,s2018,2018
/Users/summer-2024/Desktop/code metrics 25/All-Data/CS5-Data/assignments prellm/submissions_cs5_s2018/submission_12345561/final.py,401,9.476309226932669,23.44139650872818,13.216957605985039,25,14.32,24,6.833333333333333,162,4,1.209294080734253,CS5,s2018,2018
/Users/summer-2024/Desktop/code metrics 25/All-Data/CS5-Data/assignments prellm/submissions_cs5_s2018/submission_12406298/final.py,230,3.0434782608695654,16.08695652173913,13.043478260869565,18,11.0,22,4.545454545454546,68,3,1.2069292068481445,CS5,s2018,2018
/Users/summer-2024/Desktop/code metrics 25/All-Data/CS35-Data/assignments prellm/submissions_cs35_sp2018/submission_7836254/finalproject.py,1016,13.681102362204726,17.519685039370078,10.9251968503937,47,19.659574468085108,8,10.125,114,4,1.2077679634094238,CS35,sp2018,2018
/Users/summer-2024/Desktop/code metrics 25/All-Data/CS5-Data/assignments prellm/submissions_cs5_s2018/submission_12383752/final.py,317,5.678233438485805,22.082018927444793,20.50473186119874,14,19.642857142857142,11,5.545454545454546,70,3,1.2070529460906982,CS5,s2018,2018
/Users/summer-2024/Desktop/code metrics 25/All-Data/CS5-Data/assignments prellm/submissions_cs5_s2018/submission_12396892/final.py,386,33.67875647668394,79.01554404145078,22.020725388601036,9,19.333333333333332,10,7.8,52,2,1.1996150016784668,CS5,s2018,2018
/Users/summer-2024/Desktop/code metrics 25/All-Data/CS35-Data/assignments prellm/submissions_cs35_sp2018/submission_7833514/Free_Fun_Finder_FINAL.py,218,5.963302752293578,24.31192660550459,23.394495412844037,7,23.428571428571427,4,3.0,12,5,1.244946002960205,CS35,sp2018,2018
