File Name,LOC,Comment Percentage,Docstring Percentage,Blank Percentage,Number Of Functions,Average Function Length,Number of Loops,Average Loop Length,CycloComplexity,Max Depth,Execution Time,Class,Semester,Year
/Users/summer-2024/Desktop/code metrics 25/All-Data/CS5-Data/assignments prellm/submissions_cs5_s2022/submission_153652377/final.py,338,31.06508875739645,9.467455621301776,23.964497041420117,7,13.285714285714286,3,28.666666666666668,48,2,1.2755329608917236,CS5,s2022,2022
/Users/summer-2024/Desktop/code metrics 25/All-Data/CS35-Data/assignments prellm/submissions_cs35_sp2022/submission_125094981/lib/flask/helpers.py,790,6.70886075949367,49.87341772151899,19.240506329113924,21,35.476190476190474,1,7.0,67,2,1.2867069244384766,CS35,sp2022,2022
/Users/summer-2024/Desktop/code metrics 25/All-Data/CS5-Data/assignments prellm/submissions_cs5_s2022/submission_153704724/final.py,876,4.5662100456621,4.794520547945205,10.388127853881278,21,36.333333333333336,10,67.6,368,2,1.2612128257751465,CS5,s2022,2022
/Users/summer-2024/Desktop/code metrics 25/All-Data/CS35-Data/assignments prellm/submissions_cs35_sp2022/submission_125634857/main.py,90,7.777777777777778,21.11111111111111,17.77777777777778,2,9.5,0,0,22,1,1.263550043106079,CS35,sp2022,2022
/Users/summer-2024/Desktop/code metrics 25/All-Data/CS5-Data/assignments prellm/submissions_cs5_s2022/submission_154805800/final_ken_rita.py,333,17.417417417417415,15.315315315315313,12.012012012012011,15,18.266666666666666,20,3.9,81,3,1.2448992729187012,CS5,s2022,2022
/Users/summer-2024/Desktop/code metrics 25/All-Data/CS35-Data/assignments prellm/submissions_cs35_s2022/submission_129657558/final|hw9_project_progress.py,709,8.180535966149506,7.475317348377997,21.015514809590975,6,54.166666666666664,38,8.894736842105264,150,2,1.2827541828155518,CS35,s2022,2022
/Users/summer-2024/Desktop/code metrics 25/All-Data/CS35-Data/assignments prellm/submissions_cs35_s2022/submission_129695073/finalProject/Sources/python_projects-main/1_snake_game/6_game_over_restart_logic.py,174,2.8735632183908044,0.0,23.563218390804597,18,7.611111111111111,5,13.2,52,3,1.2639412879943848,CS35,s2022,2022
/Users/summer-2024/Desktop/code metrics 25/All-Data/CS5-Data/assignments prellm/submissions_cs5_s2022/submission_153696521/final.py,467,11.563169164882227,21.627408993576015,10.278372591006423,25,17.12,31,8.612903225806452,171,5,1.2660152912139893,CS5,s2022,2022
/Users/summer-2024/Desktop/code metrics 25/All-Data/CS5-Data/assignments prellm/submissions_cs5_s2022/submission_153785965/final.py,312,2.564102564102564,51.60256410256411,21.474358974358974,8,35.375,8,6.25,40,4,1.2718451023101807,CS5,s2022,2022
/Users/summer-2024/Desktop/code metrics 25/All-Data/CS35-Data/assignments prellm/submissions_cs35_sp2022/submission_125152436/Treys/__init__.py,3,0.0,0.0,0.0,0,0,0,0,2,0,1.2243409156799316,CS35,sp2022,2022
/Users/summer-2024/Desktop/code metrics 25/All-Data/CS35-Data/assignments prellm/submissions_cs35_sp2022/submission_126449226/final|predicting_profitability.py,585,46.495726495726494,2.3931623931623935,26.837606837606838,3,15.333333333333334,7,7.142857142857143,22,1,1.26369309425354,CS35,sp2022,2022
