File Name,LOC,Comment Percentage,Docstring Percentage,Blank Percentage,Number Of Functions,Average Function Length,Number of Loops,Average Loop Length,CycloComplexity,Max Depth,Execution Time,Class,Semester,Year
/Users/yuan/Desktop/Work/School/Research/CS5 DATA/pre-llm data/cs5/2019 pre llm/submission_26604226/final.py,359,1.6713091922005572,8.356545961002785,13.09192200557103,21,14.761904761904763,26,9.73076923076923,167,4,0.0,,,2019
/Users/yuan/Desktop/Work/School/Research/CS5 DATA/pre-llm data/cs5/2019 pre llm/submission_26639299/final.py,288,17.36111111111111,27.77777777777778,12.847222222222221,15,14.666666666666666,10,5.0,67,4,0.0,,,2019
/Users/yuan/Desktop/Work/School/Research/CS5 DATA/pre-llm data/cs5/2019 pre llm/submission_26665819/final.py,560,4.107142857142857,21.785714285714285,20.17857142857143,27,19.0,36,6.638888888888889,223,4,0.0,,,2019
/Users/yuan/Desktop/Work/School/Research/CS5 DATA/pre-llm data/cs5/2019 pre llm/submission_26532533/final.py,219,14.61187214611872,2.73972602739726,22.37442922374429,7,8.857142857142858,4,19.0,66,4,0.0,,,2019
/Users/yuan/Desktop/Work/School/Research/CS5 DATA/pre-llm data/cs5/2019 pre llm/submission_26413638/final.py,464,7.974137931034483,21.767241379310345,20.905172413793103,28,13.321428571428571,30,7.7,153,3,0.0,,,2019
/Users/yuan/Desktop/Work/School/Research/CS5 DATA/pre-llm data/cs5/2019 pre llm/submission_26501189/final.py,258,9.689922480620156,37.2093023255814,10.077519379844961,14,13.571428571428571,12,4.416666666666667,57,3,0.0,,,2019
/Users/yuan/Desktop/Work/School/Research/CS5 DATA/pre-llm data/cs5/2019 pre llm/submission_26635732/final.py,339,16.224188790560472,21.238938053097346,26.548672566371685,18,15.166666666666666,23,6.260869565217392,75,6,0.0,,,2019
/Users/yuan/Desktop/Work/School/Research/CS5 DATA/pre-llm data/cs5/2019 pre llm/submission_26639995/final.py,322,7.453416149068323,18.633540372670808,17.70186335403727,14,18.714285714285715,12,5.0,70,3,0.0,,,2019
/Users/yuan/Desktop/Work/School/Research/CS5 DATA/pre-llm data/cs5/2019 pre llm/submission_26475486/final.py,439,6.83371298405467,29.38496583143508,15.717539863325742,25,15.32,26,5.576923076923077,159,3,0.0,,,2019
/Users/yuan/Desktop/Work/School/Research/CS5 DATA/pre-llm data/cs5/2019 pre llm/submission_26583591/finalproject/textmodel.py,313,12.460063897763577,22.364217252396166,12.779552715654951,14,16.642857142857142,10,5.1,73,4,0.0,,,2019
/Users/yuan/Desktop/Work/School/Research/CS5 DATA/pre-llm data/cs5/2019 pre llm/submission_26561281/final.py,492,8.130081300813007,22.76422764227642,18.089430894308943,30,14.133333333333333,31,7.935483870967742,173,3,0.0,,,2019
/Users/yuan/Desktop/Work/School/Research/CS5 DATA/pre-llm data/cs5/2019 pre llm/submission_26566038/final.py,457,5.908096280087528,22.75711159737418,12.25382932166302,21,20.0,29,8.862068965517242,151,4,0.0,,,2019
/Users/yuan/Desktop/Work/School/Research/CS5 DATA/pre-llm data/cs5/2019 pre llm/submission_26478116/final.py,329,38.60182370820669,7.90273556231003,20.060790273556233,8,11.375,1,139.0,83,2,0.0,,,2019
/Users/yuan/Desktop/Work/School/Research/CS5 DATA/pre-llm data/cs5/2019 pre llm/submission_26565631/final.py,346,50.86705202312138,8.959537572254336,18.786127167630056,8,10.75,3,34.666666666666664,42,2,0.0,,,2019
/Users/yuan/Desktop/Work/School/Research/CS5 DATA/pre-llm data/cs5/2019 pre llm/submission_26344511/final.py,479,2.0876826722338206,24.008350730688935,9.394572025052192,26,16.692307692307693,25,7.0,206,2,0.0,,,2019
/Users/yuan/Desktop/Work/School/Research/CS5 DATA/pre-llm data/cs5/2019 pre llm/submission_26668697/Final.py,391,5.115089514066496,23.785166240409207,23.785166240409207,22,15.318181818181818,26,5.038461538461538,78,2,0.0,,,2019
/Users/yuan/Desktop/Work/School/Research/CS5 DATA/pre-llm data/cs5/2019 pre llm/submission_26638902/final.py,253,8.695652173913043,14.624505928853754,14.624505928853754,14,15.285714285714286,12,4.75,61,3,0.0,,,2019
/Users/yuan/Desktop/Work/School/Research/CS5 DATA/pre-llm data/cs5/2019 pre llm/submission_26641934/final.py,465,24.516129032258064,12.688172043010754,15.483870967741936,9,25.666666666666668,1,262.0,116,1,0.0,,,2019
/Users/yuan/Desktop/Work/School/Research/CS5 DATA/pre-llm data/cs5/2019 pre llm/submission_26628179/final.py,345,5.507246376811594,14.782608695652174,22.89855072463768,15,18.133333333333333,13,4.538461538461538,71,2,0.0,,,2019
/Users/yuan/Desktop/Work/School/Research/CS5 DATA/pre-llm data/cs5/2019 pre llm/submission_26639976/final.py,782,4.859335038363171,3.0690537084398977,19.18158567774936,7,17.428571428571427,1,400.0,136,2,0.0,,,2019
/Users/yuan/Desktop/Work/School/Research/CS5 DATA/pre-llm data/cs5/2019 pre llm/submission_26619155/final.py,411,9.732360097323602,22.871046228710462,15.571776155717762,25,13.72,26,8.0,141,3,0.0,,,2019
/Users/yuan/Desktop/Work/School/Research/CS5 DATA/pre-llm data/cs5/2019 pre llm/submission_26632861/final.py,478,8.99581589958159,22.594142259414227,24.476987447698743,24,17.333333333333332,24,7.375,171,4,0.0,,,2019
/Users/yuan/Desktop/Work/School/Research/CS5 DATA/pre-llm data/cs5/2019 pre llm/submission_26584412/final.py,524,12.022900763358779,24.80916030534351,11.641221374045802,25,19.4,25,9.04,196,2,0.0,,,2019
/Users/yuan/Desktop/Work/School/Research/CS5 DATA/pre-llm data/cs5/2019 pre llm/submission_26501189/porter.py,375,4.266666666666667,34.93333333333333,10.933333333333334,17,18.764705882352942,5,7.4,240,2,0.0,,,2019
/Users/yuan/Desktop/Work/School/Research/CS5 DATA/pre-llm data/cs5/2019 pre llm/submission_26567250/final.py,293,10.238907849829351,24.2320819112628,15.017064846416384,14,15.785714285714286,9,5.333333333333333,42,2,0.0,,,2019
/Users/yuan/Desktop/Work/School/Research/CS5 DATA/pre-llm data/cs5/2019 pre llm/submission_26505117/final.py,339,32.448377581120944,11.209439528023598,18.87905604719764,8,16.625,3,31.333333333333332,65,2,0.0,,,2019
/Users/yuan/Desktop/Work/School/Research/CS5 DATA/pre-llm data/cs5/2019 pre llm/submission_26629138/porter.py,375,4.266666666666667,34.93333333333333,10.933333333333334,17,18.764705882352942,5,7.4,240,2,0.0,,,2019
/Users/yuan/Desktop/Work/School/Research/CS5 DATA/pre-llm data/cs5/2019 pre llm/submission_26667616/final_plus_turtle.py,315,6.666666666666667,36.82539682539683,10.158730158730158,19,10.578947368421053,21,5.904761904761905,58,4,0.0,,,2019
/Users/yuan/Desktop/Work/School/Research/CS5 DATA/pre-llm data/cs5/2019 pre llm/submission_26665729/final.py,383,4.43864229765013,20.887728459530024,14.360313315926893,20,17.45,24,8.166666666666666,147,4,0.0,,,2019
/Users/yuan/Desktop/Work/School/Research/CS5 DATA/pre-llm data/cs5/2019 pre llm/submission_26639754/final.py,225,14.222222222222221,2.666666666666667,21.777777777777775,7,9.571428571428571,4,19.0,66,2,0.0,,,2019
/Users/yuan/Desktop/Work/School/Research/CS5 DATA/pre-llm data/cs5/2019 pre llm/submission_26630447/final.py,293,56.655290102389074,8.19112627986348,14.675767918088736,7,9.857142857142858,1,134.0,84,2,0.0,,,2019
/Users/yuan/Desktop/Work/School/Research/CS5 DATA/pre-llm data/cs5/2019 pre llm/submission_26556283/final.py,346,13.005780346820808,19.36416184971098,23.699421965317917,14,17.214285714285715,10,4.8,64,3,0.0,,,2019
/Users/yuan/Desktop/Work/School/Research/CS5 DATA/pre-llm data/cs5/2019 pre llm/submission_26594762/final.py,571,9.98248686514886,17.68826619964974,11.033274956217163,30,17.4,32,10.0,247,4,0.0,,,2019
/Users/yuan/Desktop/Work/School/Research/CS5 DATA/pre-llm data/cs5/2019 pre llm/submission_26639995/porter.py,375,4.266666666666667,34.93333333333333,10.933333333333334,17,18.764705882352942,5,7.4,240,2,0.0,,,2019
/Users/yuan/Desktop/Work/School/Research/CS5 DATA/pre-llm data/cs5/2019 pre llm/submission_26424416/final.py,339,5.3097345132743365,20.058997050147493,13.274336283185843,18,16.666666666666668,29,7.275862068965517,148,3,0.0,,,2019
