File Name,LOC,Comment Percentage,Number Of Functions,CycloComplexity,Max Depth,Weeks Covered
/Users/yuan/Desktop/CS5 data/pre-LLM data/cs5/2023 pre llm/submission_218918555/final.py,832,38.82316034776374,13,198,5
/Users/yuan/Desktop/CS5 data/pre-LLM data/cs5/2023 pre llm/submission_218525281/final.py,781,14.491470397261086,23,369,6
/Users/yuan/Desktop/CS5 data/pre-LLM data/cs5/2023 pre llm/submission_218956115/final(snow).py,412,31.387490060959443,11,38,5
/Users/yuan/Desktop/CS5 data/pre-LLM data/cs5/2023 pre llm/submission_218956115/final(collisions).py,391,33.27430011579593,10,38,5
/Users/yuan/Desktop/CS5 data/pre-LLM data/cs5/2023 pre llm/submission_218502148/final.py,236,27.361480917966276,9,64,6
/Users/yuan/Desktop/CS5 data/pre-LLM data/cs5/2023 pre llm/submission_218622907/final.py,255,39.61915753029429,12,103,7
/Users/yuan/Desktop/CS5 data/pre-LLM data/cs5/2023 pre llm/submission_216326438/final.py,260,35.25324067887211,17,56,7
/Users/yuan/Desktop/CS5 data/pre-LLM data/cs5/2023 pre llm/submission_217988601/final.py,1811,7.181528091499045,37,1455,7
/Users/yuan/Desktop/CS5 data/pre-LLM data/cs5/2023 pre llm/submission_219241907/final.py,407,19.266512817314286,10,51,4
/Users/yuan/Desktop/CS5 data/pre-LLM data/cs5/2023 pre llm/submission_218956830/textmodel.py,325,34.21752940166538,15,73,7
/Users/yuan/Desktop/CS5 data/pre-LLM data/cs5/2023 pre llm/submission_218319059/final.py,512,26.67155963302752,12,44,4
/Users/yuan/Desktop/CS5 data/pre-LLM data/cs5/2023 pre llm/submission_218538011/final.py,413,26.276085730400457,15,68,7
/Users/yuan/Desktop/CS5 data/pre-LLM data/cs5/2023 pre llm/submission_218893675/final.py,283,41.5133308298911,5,46,4
/Users/yuan/Desktop/CS5 data/pre-LLM data/cs5/2023 pre llm/submission_218967179/final.py,826,14.330488130168039,21,55,4
/Users/yuan/Desktop/CS5 data/pre-LLM data/cs5/2023 pre llm/submission_218602965/final.py,1029,5.8061655503955585,4,233,5
/Users/yuan/Desktop/CS5 data/pre-LLM data/cs5/2023 pre llm/submission_217973499/final.py,1554,22.72733491114547,48,610,7
/Users/yuan/Desktop/CS5 data/pre-LLM data/cs5/2023 pre llm/submission_218947900/final.py,309,24.930249302493024,15,49,8
/Users/yuan/Desktop/CS5 data/pre-LLM data/cs5/2023 pre llm/submission_218566082/final.py,324,11.019816336394396,9,97,6
/Users/yuan/Desktop/CS5 data/pre-LLM data/cs5/2023 pre llm/submission_217580080/final.py,296,33.577052868391455,3,52,4
/Users/yuan/Desktop/CS5 data/pre-LLM data/cs5/2023 pre llm/submission_218969804/final.py,290,43.81692573402418,18,60,8
/Users/yuan/Desktop/CS5 data/pre-LLM data/cs5/2023 pre llm/submission_219268030/final.py,458,37.130801687763714,13,51,5
/Users/yuan/Desktop/CS5 data/pre-LLM data/cs5/2023 pre llm/submission_218946218/final.py,1121,3.991468616697136,17,837,6
