File Name,LOC,Comment Percentage,Docstring Percentage,Blank Percentage,Number Of Functions,Average Function Length,Number of Loops,Average Loop Length,CycloComplexity,Max Depth,Execution Time,Class,Semester,Year
/Users/summer-2024/Desktop/code metrics 25/All-Data/CS35-Data/assignments postllm/submissions_cs35_sp2025/submission_355/final|hw6pr1birth_modeler .py,713,46.84431977559607,3.3660589060308554,27.769985974754558,4,10.25,9,6.222222222222222,26,1,1.254988193511963,CS35,sp2025,2025
/Users/summer-2024/Desktop/code metrics 25/All-Data/CS35-Data/assignments postllm/submissions_cs35_sp2025/submission_3511/final|hw6pr2digit_modeler .py,756,44.576719576719576,1.8518518518518516,27.24867724867725,3,12.666666666666666,12,5.5,32,1,1.2552380561828613,CS35,sp2025,2025
"/Users/summer-2024/Desktop/code metrics 25/All-Data/IST341-Data/assignments postllm/submissions_ist341_sp2025/final|Copy_of_CGU_Week1_Cells,_Code,_and_Conditionals__&_ (1).py",475,24.421052631578945,1.6842105263157894,30.94736842105263,2,43.5,0,0,53,1,1.2731571197509766,IST341,sp2025,2025
/Users/summer-2024/Desktop/code metrics 25/All-Data/CS35-Data/assignments postllm/submissions_cs35_sp2025/submission_3510/final|Copy_of_hw0pr1 .py,686,30.029154518950435,7.580174927113703,34.69387755102041,19,8.894736842105264,24,3.6666666666666665,90,2,timeout,CS35,sp2025,2025
/Users/summer-2024/Desktop/code metrics 25/All-Data/ECON176-Data/assignments postllm/submissions_econ176_sp2025/submission_17610/final|Assignment 1- .py,1031,20.659553831231815,4.558680892337536,31.03782735208536,10,28.7,8,8.0,62,1,timeout,ECON176,sp2025,2025
/Users/summer-2024/Desktop/code metrics 25/All-Data/CS35-Data/assignments postllm/submissions_cs35_sp2025/submission_3512/final|hw7pr2digit_modeler .py,791,46.77623261694058,2.5284450063211126,24.020227560050568,9,26.555555555555557,13,14.076923076923077,50,2,1.3628568649291992,CS35,sp2025,2025
/Users/summer-2024/Desktop/code metrics 25/All-Data/ECON176-Data/assignments postllm/submissions_econ176_sp2025/submission_1764/final|Assignment 7- .py,482,18.464730290456433,4.564315352697095,33.19502074688796,6,8.5,1,15.0,4,2,timeout,ECON176,sp2025,2025
/Users/summer-2024/Desktop/code metrics 25/All-Data/IST341-Data/assignments postllm/submissions_ist341_sp2025/final|Homework_8_Assignment_.py,623,39.325842696629216,2.247191011235955,20.38523274478331,3,14.0,10,7.6,80,1,1.3739871978759766,IST341,sp2025,2025
/Users/summer-2024/Desktop/code metrics 25/All-Data/IST341-Data/assignments postllm/submissions_ist341_sp2025/final|'s_Copy_of_hw9_ist341_spr25.py,624,42.467948717948715,7.532051282051282,26.923076923076923,5,14.6,7,4.0,31,1,1.342421054840088,IST341,sp2025,2025
/Users/summer-2024/Desktop/code metrics 25/All-Data/ECON176-Data/assignments postllm/submissions_econ176_sp2025/submission_1768/final|Assignment 7- .py,491,17.10794297352342,2.0366598778004072,34.419551934826885,6,8.5,1,15.0,4,2,timeout,ECON176,sp2025,2025
