File Name,LOC,Comment Percentage,Docstring Percentage,Blank Percentage,Number Of Functions,Average Function Length,Number of Loops,Average Loop Length,CycloComplexity,Max Depth,Execution Time,Class,Semester,Year
/Users/summer-2024/Desktop/code metrics 25/All-Data/CS5-Data/assignments prellm/submissions_cs5_s2020/submission_38767563/finalproject.py,836,16.148325358851675,23.80382775119617,17.822966507177032,32,17.6875,13,6.538461538461538,302,2,1.3251140117645264,CS5,s2020,2020
/Users/summer-2024/Desktop/code metrics 25/All-Data/CS5-Data/assignments prellm/submissions_cs5_s2020/submission_38755398/porter.py,375,4.266666666666667,34.93333333333333,10.933333333333334,17,18.764705882352942,5,7.4,240,2,1.259829044342041,CS5,s2020,2020
/Users/summer-2024/Desktop/code metrics 25/All-Data/CS35-Data/assignments prellm/submissions_cs35_s2020/submission_40173899/oeis_processor.py,47,0.0,0.0,12.76595744680851,5,7.6,0,0,10,2,1.3244400024414062,CS35,s2020,2020
/Users/summer-2024/Desktop/code metrics 25/All-Data/CS5-Data/assignments prellm/submissions_cs5_s2020/submission_38747275/final.py,395,7.088607594936709,27.088607594936708,20.759493670886076,20,14.55,21,5.190476190476191,89,3,timeout,CS5,s2020,2020
/Users/summer-2024/Desktop/code metrics 25/All-Data/CS35-Data/assignments prellm/submissions_cs35_s2020/submission_40173899/seq_nn.py,114,8.771929824561402,0.0,17.543859649122805,4,8.5,5,7.0,28,1,1.3076741695404053,CS35,s2020,2020
/Users/summer-2024/Desktop/code metrics 25/All-Data/CS35-Data/assignments prellm/submissions_cs35_s2020/submission_40221356/finalproject.py,264,12.878787878787879,14.772727272727273,18.181818181818183,7,29.857142857142858,12,8.666666666666666,42,2,1.325732707977295,CS35,s2020,2020
/Users/summer-2024/Desktop/code metrics 25/All-Data/CS5-Data/assignments prellm/submissions_cs5_s2020/submission_38730438/final.py,199,10.050251256281408,26.13065326633166,26.633165829145728,9,15.444444444444445,2,11.5,32,2,1.3127331733703613,CS5,s2020,2020
/Users/summer-2024/Desktop/code metrics 25/All-Data/CS5-Data/assignments prellm/submissions_cs5_s2020/submission_38766059/Final.py,401,13.715710723192021,21.44638403990025,12.468827930174564,15,14.733333333333333,8,5.875,60,2,1.2346789836883545,CS5,s2020,2020
/Users/summer-2024/Desktop/code metrics 25/All-Data/CS35-Data/assignments prellm/submissions_cs35_s2020/submission_40179638/finalproject/final|final_aapl.py,188,17.02127659574468,12.76595744680851,22.340425531914892,1,2.0,1,9.0,4,1,1.3671691417694092,CS35,s2020,2020
/Users/summer-2024/Desktop/code metrics 25/All-Data/CS5-Data/assignments prellm/submissions_cs5_s2020/submission_38730446/finalProject.py,160,4.375,11.25,7.5,8,17.5,10,4.3,69,2,1.2246050834655762,CS5,s2020,2020
/Users/summer-2024/Desktop/code metrics 25/All-Data/CS35-Data/assignments prellm/submissions_cs35_s2020/submission_40169377/Final project.py,124,4.032258064516129,3.225806451612903,15.32258064516129,0,0,3,13.666666666666666,20,0,1.4245948791503906,CS35,s2020,2020
/Users/summer-2024/Desktop/code metrics 25/All-Data/CS35-Data/assignments prellm/submissions_cs35_s2020/submission_40156205/final|keystroke_dynamics.py,689,22.206095791001452,1.0159651669085632,29.46298984034833,7,13.0,41,3.951219512195122,96,2,1.3329589366912842,CS35,s2020,2020
/Users/summer-2024/Desktop/code metrics 25/All-Data/CS35-Data/assignments prellm/submissions_cs35_s2020/submission_40156205/record.py,74,24.324324324324326,14.864864864864865,17.56756756756757,3,15.333333333333334,1,2.0,12,2,1.2396271228790283,CS35,s2020,2020
/Users/summer-2024/Desktop/code metrics 25/All-Data/CS35-Data/assignments prellm/submissions_cs35_s2020/submission_40181991/digits.py,99,32.323232323232325,0.0,29.292929292929294,0,0,3,4.666666666666667,8,0,1.256749153137207,CS35,s2020,2020
/Users/summer-2024/Desktop/code metrics 25/All-Data/CS5-Data/assignments prellm/submissions_cs5_s2020/submission_38764622/CS5 Final.py,299,10.702341137123746,31.77257525083612,23.076923076923077,10,11.7,24,5.708333333333333,104,3,1.250439167022705,CS5,s2020,2020
