File Name,LOC,Comment Percentage,Number Of Functions,CycloComplexity,Max Depth,Weeks Covered
/Users/yuan/Desktop/CS5 data/pre-LLM data/cs5/2018 pre llm/submission_12307578/final.py,363,40.37884982284001,10,48,5
/Users/yuan/Desktop/CS5 data/pre-LLM data/cs5/2018 pre llm/submission_12478494/Final.py,2,70.94017094017093,0,2,1
/Users/yuan/Desktop/CS5 data/pre-LLM data/cs5/2018 pre llm/submission_12437360/final.py,304,23.801795953694693,14,88,5
/Users/yuan/Desktop/CS5 data/pre-LLM data/cs5/2018 pre llm/submission_12437360/porter.py,358,37.26782028893475,17,241,7
/Users/yuan/Desktop/CS5 data/pre-LLM data/cs5/2018 pre llm/submission_12337916/final.py,429,24.298844040174338,18,64,5
/Users/yuan/Desktop/CS5 data/pre-LLM data/cs5/2018 pre llm/submission_12309848/final.py,481,41.079486289482816,25,157,6
/Users/yuan/Desktop/CS5 data/pre-LLM data/cs5/2018 pre llm/submission_12407101/final.py,461,23.527883166155604,9,54,4
/Users/yuan/Desktop/CS5 data/pre-LLM data/cs5/2018 pre llm/submission_12407768/final.py,343,22.337289288683948,12,55,4
/Users/yuan/Desktop/CS5 data/pre-LLM data/cs5/2018 pre llm/submission_12402615/final.py,517,17.17704817428659,35,185,6
/Users/yuan/Desktop/CS5 data/pre-LLM data/cs5/2018 pre llm/submission_12380032/final.py,247,36.05126806653941,6,57,5
/Users/yuan/Desktop/CS5 data/pre-LLM data/cs5/2018 pre llm/submission_12363853/final.py,553,19.946965232763702,34,240,6
/Users/yuan/Desktop/CS5 data/pre-LLM data/cs5/2018 pre llm/submission_12381546/final.py,498,23.298191719611815,11,40,5
/Users/yuan/Desktop/CS5 data/pre-LLM data/cs5/2018 pre llm/submission_12477026/Final.py,325,31.817424621022827,8,60,5
/Users/yuan/Desktop/CS5 data/pre-LLM data/cs5/2018 pre llm/submission_12345561/final.py,401,26.41871165644172,25,162,6
/Users/yuan/Desktop/CS5 data/pre-LLM data/cs5/2018 pre llm/submission_12383169/final.py,403,35.76920260672183,24,160,6
/Users/yuan/Desktop/CS5 data/pre-LLM data/cs5/2018 pre llm/submission_12364907/final.py,247,28.457931753060695,4,56,5
