File Name,LOC,Comment Percentage,Docstring Percentage,Empty Percentage,Number Of Functions,Number of Loops,CycloComplexity,Average Function Length,Max Depth,Execution Time,Weeks Covered,Class,Semester,Year
/Users/summer-2024/Desktop/code metrics 25/All-Data/CS5-Data/assignments prellm/submissions_cs5_s2018/submission_12381546/final.py,498,38.153,13.855421686746988,13.855421686746988,11,40,45.27272727272727,-1,2,1.285,5,CS5,s2018,2018
/Users/summer-2024/Desktop/code metrics 25/All-Data/CS5-Data/assignments prellm/submissions_cs5_s2018/submission_12315722/final.py,457,3.501,21.88183807439825,9.409190371991247,20,194,22.85,32,4,1.257,6,CS5,s2018,2018
/Users/summer-2024/Desktop/code metrics 25/All-Data/CS5-Data/assignments prellm/submissions_cs5_s2018/submission_12416091/final.py,348,25.287,15.229885057471265,25.287356321839084,12,42,29.0,4,3,1.279,5,CS5,s2018,2018
/Users/summer-2024/Desktop/code metrics 25/All-Data/CS35-Data/assignments prellm/submissions_cs35_sp2018/submission_8002908/filament.py,174,16.667,14.367816091954024,21.26436781609195,3,36,58.0,5,1,1.256,4,CS35,sp2018,2018
/Users/summer-2024/Desktop/code metrics 25/All-Data/CS5-Data/assignments prellm/submissions_cs5_s2018/submission_12407101/final.py,461,25.813,7.37527114967462,23.210412147505423,9,54,51.22222222222222,1,3,1.266,4,CS5,s2018,2018
/Users/summer-2024/Desktop/code metrics 25/All-Data/CS5-Data/assignments prellm/submissions_cs5_s2018/submission_12333102/Final_GameUpdate.py,405,21.728,7.4074074074074066,23.703703703703702,10,54,40.5,2,2,1.247,5,CS5,s2018,2018
/Users/summer-2024/Desktop/code metrics 25/All-Data/CS5-Data/assignments prellm/submissions_cs5_s2018/submission_12309425/final.py,303,11.881,11.88118811881188,27.72277227722773,14,49,21.642857142857142,-1,3,1.288,5,CS5,s2018,2018
/Users/summer-2024/Desktop/code metrics 25/All-Data/CS5-Data/assignments prellm/submissions_cs5_s2018/submission_12417894/final.py,467,30.621,12.205567451820128,23.55460385438972,13,93,35.92307692307692,2,2,1.268,5,CS5,s2018,2018
/Users/summer-2024/Desktop/code metrics 25/All-Data/CS5-Data/assignments prellm/submissions_cs5_s2018/submission_12346131/final.py,583,0.858,17.152658662092623,11.49228130360206,21,286,27.761904761904763,45,4,1.29,7,CS5,s2018,2018
/Users/summer-2024/Desktop/code metrics 25/All-Data/CS5-Data/assignments prellm/submissions_cs5_s2018/submission_12307026/porter.py,357,4.482,34.45378151260504,10.92436974789916,17,241,21.0,5,2,1.273,7,CS5,s2018,2018
/Users/summer-2024/Desktop/code metrics 25/All-Data/CS5-Data/assignments prellm/submissions_cs5_s2018/submission_12436256/final.py,548,9.672,23.54014598540146,11.861313868613138,32,254,17.125,32,5,1.251,6,CS5,s2018,2018
