File Name,LOC,Comment Percentage,Docstring Percentage,Blank Percentage,Number Of Functions,Average Function Length,Number of Loops,Average Loop Length,CycloComplexity,Max Depth,Execution Time,Class,Semester,Year
/Users/summer-2024/Desktop/code metrics 25/All-Data/CS5-Data/assignments postllm/submissions_cs5_s2023/submission_218502493/final.py,236,7.203389830508475,13.983050847457626,22.033898305084744,9,20.666666666666668,10,5.4,64,2,-3.0,CS5,s2023,2023
/Users/summer-2024/Desktop/code metrics 25/All-Data/CS5-Data/assignments postllm/submissions_cs5_s2023/submission_218504208/final.py,182,0.5494505494505495,0.0,10.43956043956044,15,10.4,21,4.809523809523809,74,4,-3.0,CS5,s2023,2023
/Users/summer-2024/Desktop/code metrics 25/All-Data/CS5-Data/assignments postllm/submissions_cs5_s2023/submission_218514572/final.py,545,20.55045871559633,11.926605504587156,14.128440366972479,11,24.727272727272727,5,29.8,58,2,-3.0,CS5,s2023,2023
/Users/summer-2024/Desktop/code metrics 25/All-Data/CS5-Data/assignments postllm/submissions_cs5_s2023/submission_218516844/final.py,312,21.474358974358974,13.141025641025642,17.94871794871795,14,17.642857142857142,22,6.681818181818182,79,3,-3.0,CS5,s2023,2023
/Users/summer-2024/Desktop/code metrics 25/All-Data/CS5-Data/assignments postllm/submissions_cs5_s2023/submission_218518686/finalproject.py,236,0.423728813559322,19.06779661016949,20.76271186440678,16,12.9375,14,7.714285714285714,89,3,-3.0,CS5,s2023,2023
/Users/summer-2024/Desktop/code metrics 25/All-Data/CS5-Data/assignments postllm/submissions_cs5_s2023/submission_218525281/final.py,781,7.554417413572343,10.371318822023047,11.395646606914212,23,32.391304347826086,40,16.175,369,6,-3.0,CS5,s2023,2023
/Users/summer-2024/Desktop/code metrics 25/All-Data/CS5-Data/assignments postllm/submissions_cs5_s2023/submission_218538011/final.py,413,12.590799031477,17.191283292978206,16.707021791767556,15,18.666666666666668,10,8.0,68,2,-3.0,CS5,s2023,2023
/Users/summer-2024/Desktop/code metrics 25/All-Data/CS5-Data/assignments postllm/submissions_cs5_s2023/submission_218544056/finalwith42.py,267,5.992509363295881,19.850187265917604,13.108614232209737,12,20.583333333333332,17,7.235294117647059,79,3,-3.0,CS5,s2023,2023
/Users/summer-2024/Desktop/code metrics 25/All-Data/CS5-Data/assignments postllm/submissions_cs5_s2023/submission_218562645/final.py,336,20.238095238095237,5.357142857142857,22.916666666666664,8,10.875,5,17.0,58,1,-3.0,CS5,s2023,2023
/Users/summer-2024/Desktop/code metrics 25/All-Data/CS5-Data/assignments postllm/submissions_cs5_s2023/submission_218563211/final.py,650,16.307692307692307,9.230769230769232,12.769230769230768,17,20.294117647058822,1,125.0,117,2,-3.0,CS5,s2023,2023
/Users/summer-2024/Desktop/code metrics 25/All-Data/CS5-Data/assignments postllm/submissions_cs5_s2023/submission_218566082/final.py,324,1.5432098765432098,10.493827160493826,17.28395061728395,9,27.555555555555557,8,29.625,97,2,-3.0,CS5,s2023,2023
/Users/summer-2024/Desktop/code metrics 25/All-Data/CS5-Data/assignments postllm/submissions_cs5_s2023/submission_218575183/final.py,466,8.369098712446352,19.742489270386265,18.4549356223176,18,24.444444444444443,28,8.285714285714286,192,4,-3.0,CS5,s2023,2023
/Users/summer-2024/Desktop/code metrics 25/All-Data/CS5-Data/assignments postllm/submissions_cs5_s2023/submission_218575183/game.py,20,5.0,0.0,25.0,0,0,1,15.0,8,0,-3.0,CS5,s2023,2023
/Users/summer-2024/Desktop/code metrics 25/All-Data/CS5-Data/assignments postllm/submissions_cs5_s2023/submission_218584006/final.py,490,3.4693877551020407,13.877551020408163,11.020408163265307,24,18.833333333333332,65,5.815384615384615,244,3,-3.0,CS5,s2023,2023
/Users/summer-2024/Desktop/code metrics 25/All-Data/CS5-Data/assignments postllm/submissions_cs5_s2023/submission_218602965/final.py,1029,5.928085519922255,1.5549076773566568,17.687074829931973,4,253.75,14,59.714285714285715,233,2,-3.0,CS5,s2023,2023
/Users/summer-2024/Desktop/code metrics 25/All-Data/CS5-Data/assignments postllm/submissions_cs5_s2023/submission_218609996/CS5final.py,198,5.05050505050505,0.0,18.68686868686869,14,11.0,7,11.571428571428571,74,4,-3.0,CS5,s2023,2023
/Users/summer-2024/Desktop/code metrics 25/All-Data/CS5-Data/assignments postllm/submissions_cs5_s2023/submission_218619257/milestone.py,327,13.455657492354739,18.34862385321101,18.960244648318042,15,16.2,9,6.111111111111111,58,3,-3.0,CS5,s2023,2023
/Users/summer-2024/Desktop/code metrics 25/All-Data/CS5-Data/assignments postllm/submissions_cs5_s2023/submission_218622907/final.py,255,17.254901960784313,9.411764705882353,9.019607843137255,12,18.25,23,5.695652173913044,103,2,-3.0,CS5,s2023,2023
/Users/summer-2024/Desktop/code metrics 25/All-Data/CS5-Data/assignments postllm/submissions_cs5_s2023/submission_218622907/wordle_valid_guesses.py,14857,0.0,0.0,0.0,0,0,0,0,2,0,-3.0,CS5,s2023,2023
/Users/summer-2024/Desktop/code metrics 25/All-Data/CS5-Data/assignments postllm/submissions_cs5_s2023/submission_218628196/final.py,456,0.0,19.078947368421055,7.894736842105263,19,22.105263157894736,28,11.5,179,4,-3.0,CS5,s2023,2023
/Users/summer-2024/Desktop/code metrics 25/All-Data/CS5-Data/assignments postllm/submissions_cs5_s2023/submission_218715776/final.py,582,23.883161512027492,13.745704467353953,3.951890034364261,15,36.666666666666664,40,15.5,242,2,-3.0,CS5,s2023,2023
/Users/summer-2024/Desktop/code metrics 25/All-Data/CS5-Data/assignments postllm/submissions_cs5_s2023/submission_218718703/milestone.py,327,13.455657492354739,18.34862385321101,18.960244648318042,15,16.2,9,6.111111111111111,58,3,-3.0,CS5,s2023,2023
